,Enzyme Common Name,,EnzymeId
794,RNA lariat debranching enzyme activity,primary,
795,DNA binding,primary,
796,ATPase activity,primary,641
797,ORF,primary,
798,protein serine/threonine kinase activity,primary,1451
799,ORF,primary,
800,ORF,primary,
801,ORF,primary,
802,long-chain-fatty-acid-CoA ligase activity,primary,987
803,protein phosphatase 1 binding,primary,
804,SpdS,primary,1105
805,ORF,primary,
806,Rab-protein geranylgeranyltransferase activity,primary,970
807,CTP synthase activity,primary,741
808,ORF,primary,
809,subtilisin activity,primary,1267
810,neurotransmitter:sodium symporter activity,primary,
811,metallopeptidase activity//protein dimerization activity,primary,
812,ORF,primary,
813,protein serine/threonine kinase activity,primary,1451
814,nucleotide binding//mRNA binding,primary,
815,"ATPase activity, coupled",primary,641
816,DNA binding//calcium ion binding,primary,
817,death receptor binding//protein binding,primary,
818,ORF,primary,
819,protein binding,primary,
820,serine-type endopeptidase activity,primary,
821,ORF,primary,
822,GDP-fucose transmembrane transporter activity,primary,
823,ORF,primary,
824,ORF,primary,
825,protein serine/threonine kinase activity,primary,1451
826,zinc ion binding,primary,
827,ORF,primary,
828,acid phosphatase activity,primary,
829,structural constituent of chitin-based cuticle,primary,
830,protein serine/threonine kinase activity,primary,1451
831,ORF,primary,
832,diacylglycerol binding,primary,
833,transporter activity,primary,
834,elastase activity,primary,1328
835,microtubule binding,primary,
836,dUTP pyrophosphatase inhibitor activity,primary,
837,intracellular cyclic nucleotide activated cation channel activity//voltage-gated potassium channel activity//voltage-gated ion channel activity//cAMP-dependent protein kinase regulator activity,primary,
838,ORF,primary,
839,Rab GTPase activator activity//GTPase activator activity,primary,
840,ORF,primary,
841,ORF,primary,
842,small conjugating protein ligase activity,primary,
843,protein binding//actin binding,primary,
844,ORF,primary,
845,protein serine/threonine kinase activity,primary,1451
846,ORF,primary,
847,phosphatidylethanolamine binding,primary,
848,ORF,primary,
849,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
850,DNA binding,primary,
851,nucleic acid binding,primary,
852,"ATPase activity, coupled",primary,641
853,low-density lipoprotein receptor activity,primary,
854,structural constituent of ribosome,primary,
855,ORF,primary,
856,ORF,primary,
857,carboxypeptidase A activity,primary,1442
858,DNA binding,primary,
859,serine-type endopeptidase activity,primary,
860,ATP-dependent DNA helicase activity,primary,641
861,ORF,primary,
862,pyridoxal phosphate binding,primary,
863,zinc ion binding,primary,
864,neprilysin activity,primary,211
865,transporter activity,primary,
866,ORF,primary,
867,ORF,primary,
868,DNA binding//zinc ion binding,primary,
869,ORF,primary,
870,ORF,primary,
871,ORF,primary,
872,DNA ligase (ATP) activity,primary,463
873,RNA polymerase II transcription factor activity//positive transcription elongation factor activity,primary,
874,methylenetetrahydrofolate reductase (NADPH) activity,primary,1195
875,ORF,primary,
876,unfolded protein binding//ATP binding,primary,
877,phospholipid binding//calcium-dependent phospholipid binding//actin binding//calcium ion binding,primary,
878,ORF,primary,
879,ORF,primary,
880,ORF,primary,
881,ORF,primary,
882,ORF,primary,
883,structural constituent of cytoskeleton//cytoskeletal protein binding//protein binding,primary,
884,eclosion hormone activity//neuropeptide hormone activity//ecdysis-triggering hormone activity,primary,
885,endopeptidase activity//threonine endopeptidase activity,primary,
886,GTPase activity,primary,1171
887,ORF,primary,
888,pyridoxal phosphate binding,primary,302
889,trypsin activity,primary,823
890,myosin light chain binding,primary,
891,L-ornithine transmembrane transporter activity,primary,
892,catalytic activity,primary,
893,oxidoreductase activity//zinc ion binding,primary,
894,DNA binding,primary,
895,ORF,primary,
896,transporter activity,primary,
897,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity,primary,1407
898,transcription factor activity,primary,
899,ORF,primary,
900,neuropeptide receptor activity//protein-hormone receptor activity,primary,
901,nucleoside:sodium symporter activity,primary,
902,protein binding//phosphoinositide binding,primary,
903,DNA binding,primary,
904,"ATPase activity, coupled to transmembrane movement of substances",primary,641
905,enzyme inhibitor activity//diazepam binding//acyl-CoA binding,primary,
906,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
907,scavenger receptor activity,primary,
908,RNA-directed DNA polymerase activity,primary,1381
909,zinc ion binding//nucleic acid binding,primary,
910,nuclease activity,primary,
911,ORF,primary,
912,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",primary,1384
913,voltage-gated potassium channel activity,primary,
914,olfactory receptor activity//odorant binding//pheromone receptor activity,primary,
915,calcium:sodium antiporter activity,primary,
916,ORF,primary,
917,zinc ion binding,primary,
918,NADH dehydrogenase activity,primary,1214
919,ORF,primary,
920,copper ion binding//zinc ion binding//nucleic acid binding,primary,
921,muscarinic acetylcholine receptor activity,primary,
922,protein serine/threonine kinase activity,primary,1451
923,astacin activity,primary,712
924,trypsin activity,primary,823
925,sodium channel activity,primary,
926,ORF,primary,
927,sodium channel activity,primary,
928,ORF,primary,
929,beta-N-acetylhexosaminidase activity,primary,755
930,eukaryotic initiation factor 4E binding,primary,
931,ORF,primary,
932,ORF,primary,
933,ORF,primary,
934,ORF,primary,
935,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity,primary,1271
936,carboxylesterase activity,primary,1121
937,glycine C-acetyltransferase activity,primary,258
938,hyalurononglucosaminidase activity,primary,91
939,ORF,primary,
940,ORF,primary,
941,NADH dehydrogenase activity,primary,1214
942,GTPase activity,primary,1171
943,ORF,primary,
944,neprilysin activity,primary,211
945,sequence-specific DNA binding//transcription factor activity,primary,
946,odorant binding,primary,
947,ORF,primary,
948,phosphopantetheine binding//transcription factor activity//zinc ion binding,primary,
949,ORF,primary,
950,astacin activity,primary,608
951,ORF,primary,
952,ORF,primary,
953,ORF,primary,
954,DNA-directed RNA polymerase activity,primary,1393
955,protein serine/threonine kinase activity,primary,1475
956,protein tyrosine phosphatase activity,primary,1490
957,inositol or phosphatidylinositol phosphatase activity,primary,868
958,ORF,primary,
959,binding,primary,
960,"fructose-2,6-bisphosphate 2-phosphatase activity",primary,600
961,ORF,primary,
962,glucose transmembrane transporter activity,primary,
963,"transferase activity, transferring nitrogenous groups//pyridoxal phosphate binding",primary,
964,protein binding,primary,
965,ORF,primary,
966,ORF,primary,
967,ORF,primary,
968,ORF,primary,
969,ORF,primary,
970,ORF,primary,
971,MAP kinase activity,primary,1468
972,transcription regulator activity//ligand-dependent nuclear receptor binding//zinc ion binding,primary,
973,sodium channel activity,primary,
974,GTPase activity,primary,1171
975,ORF,primary,
976,protein binding,primary,
977,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
978,ORF,primary,
979,ORF,primary,
980,trypsin activity,primary,823
981,transcription corepressor activity,primary,
982,long-chain-3-hydroxyacyl-CoA dehydrogenase activity,primary,1103
983,ORF,primary,
984,ORF,primary,
985,acid phosphatase activity,primary,
986,ORF,primary,
987,transcription repressor activity//DNA binding//specific transcriptional repressor activity//transcription factor activity,primary,
988,ORF,primary,
989,ORF,primary,
990,pepsin A activity,primary,1309
991,ribonuclease III activity,primary,383
992,ORF,primary,
993,ORF,primary,
994,double-stranded RNA binding//protein binding,primary,
995,protein serine/threonine kinase activity,primary,1451
996,ORF,primary,
997,serine-type endopeptidase inhibitor activity,primary,
998,myosin light chain binding,primary,
999,ORF,primary,
1000,cysteine-type endopeptidase activity,primary,
1001,carboxylesterase activity,primary,1121
1002,ATP-dependent DNA helicase activity,primary,641
1003,choline dehydrogenase activity,primary,677
1004,protein serine/threonine kinase activity,primary,1451
1005,endopeptidase activity,primary,
1006,glucose transmembrane transporter activity,primary,
1007,cell adhesion molecule binding//receptor activity//calcium ion binding,primary,
1008,"ATPase activity, coupled to transmembrane movement of substances",primary,641
1009,structural constituent of vitelline membrane,primary,
1010,nucleic acid binding,primary,
1011,ORF,primary,
1012,helicase activity//DNA binding//ATP binding//DNA helicase activity//general RNA polymerase II transcription factor activity,primary,
1013,N-acetylmuramoyl-L-alanine amidase activity,primary,853
1014,ORF,primary,
1015,trypsin activity,primary,823
1016,ORF,primary,
1017,ORF,primary,
1018,ORF,primary,
1019,ORF,primary,
1020,N-methyl-D-aspartate selective glutamate receptor activity,primary,
1021,ORF,primary,
1022,ORF,primary,
1023,GTPase activity,primary,1171
1024,ORF,primary,
1025,holocytochrome-c synthase activity,primary,1438
1026,protein kinase activity,primary,1451
1027,ORF,primary,
1028,neprilysin activity,primary,211
1029,binding//steroid dehydrogenase activity,primary,
1030,ORF,primary,
1031,ORF,primary,
1032,sequence-specific DNA binding//DNA binding//specific RNA polymerase II transcription factor activity//transcription factor activity,primary,
1033,protein binding//transcription factor activity//zinc ion binding//nucleic acid binding,primary,
1034,protein serine/threonine kinase activity,primary,1451
1035,DNA binding,primary,1384
1036,protein binding//zinc ion binding,primary,
1037,zinc ion binding,primary,
1038,ORF,primary,
1039,ORF,primary,
1040,N-acetylmuramoyl-L-alanine amidase activity,primary,853
1041,iduronate-2-sulfatase activity,primary,1080
1042,ubiquitin thiolesterase activity,primary,1532
1043,ORF,primary,
1044,ORF,primary,
1045,ORF,primary,
1046,SNAP receptor activity,primary,
1047,organic anion transmembrane transporter activity,primary,
1048,amino acid transmembrane transporter activity,primary,
1049,dimethylallyltranstransferase activity,primary,604
1050,electron-transferring-flavoprotein dehydrogenase activity,primary,1464
1051,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338
1052,serine-type endopeptidase activity,primary,
1053,RNA polymerase II transcription mediator activity//protein binding//serine-type endopeptidase activity,primary,
1054,extracellular-glycine-gated ion channel activity//neurotransmitter receptor activity//GABA-A receptor activity//histamine-gated chloride channel activity,primary,
1055,ORF,primary,
1056,NADH dehydrogenase (ubiquinone) activity,primary,32
1057,ORF,primary,
1058,chymotrypsin activity,primary,162
1059,ORF,primary,
1060,ORF,primary,
1061,ORF,primary,
1062,histone-arginine N-methyltransferase activity,primary,297
1063,electron carrier activity,primary,
1064,sequence-specific DNA binding//transcription factor activity,primary,
1065,ORF,primary,
1066,ORF,primary,
1067,ORF,primary,
1068,mRNA binding,primary,
1069,ORF,primary,
1070,ORF,primary,
1071,transporter activity,primary,
1072,DNA binding//protein binding//chromatin binding,primary,
1073,metallopeptidase activity//DNA binding//zinc ion binding,primary,
1074,ORF,primary,
1075,calcium ion binding,primary,
1076,ORF,primary,
1077,ORF,primary,
1078,binding//protein transporter activity,primary,
1079,pheromone binding//odorant binding//phenylalkylamine binding,primary,
1080,serine-type endopeptidase activity,primary,
1081,Rab GTPase activator activity,primary,
1082,ORF,primary,
1083,ORF,primary,
1084,trypsin activity,primary,823
1085,transcription factor activity,primary,1288
1086,3'-5' exonuclease activity//nucleic acid binding,primary,
1087,ORF,primary,
1088,signal peptidase activity,primary,1232
1089,ORF,primary,
1090,ORF,primary,
1091,"ATPase activity, coupled",primary,641
1092,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,
1093,ORF,primary,
1094,ORF,primary,
1095,calcium-dependent phospholipid binding//calcium ion binding,primary,
1096,peroxidase activity,primary,505
1097,sequence-specific DNA binding//DNA binding//specific RNA polymerase II transcription factor activity//transcription activator activity//transcription factor activity,primary,
1098,"nucleotide binding//hydrolase activity, acting on ester bonds//metal ion binding",primary,
1099,heme binding//transition metal ion binding,primary,
1100,ORF,primary,
1101,ATP-dependent DNA helicase activity,primary,641
1102,intracellular cyclic nucleotide activated cation channel activity,primary,
1103,ORF,primary,
1104,ORF,primary,
1105,protein serine/threonine kinase activity,primary,1451
